en,vi,description
Antibiotics,kháng sinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Aphasia,chứng mất ngôn ngữ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Application,tính ứng dụng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Application Knowledge,kiến thức ứng dụng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Appropriate Adult Expectations,các mong đợi thích hợp của người lớn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Appropriate Behaviour,hành vi thích hợp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Apraxia,chứng mất dùng động tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Asocial,phi xã hội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Asocial Maladaptive Behaviour,hành vi kém thích ứng phi xã hội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Assessment,đánh giá,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Assessment Strategies,phương pháp đánh giá,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Asthma,"bệnh hen, suyễn",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Ataxic Cerebral Palsy,sự liệt não mất điều hòa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Attention,"tập trung, chú ý",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Attention Deficit,giảm tập trung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Attention Deficit Hyperactive Disorder,rối loạn tăng động giảm tập trung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Audiology,thính học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Audiology Services,khoa thính học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Audiologist,nhà (nghiên cứu) thính học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Auditory Interaction,tương tác thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Auditory Perception,nhận thức thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Auditory Skills,kỹ năng thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Auditory Style,dạng thính giác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Autism,"bệnh tự kỷ, tự bế",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Awareness,sự nhận thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Backbone,xương sống,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Background of Experience,nền tảng kinh nghiệm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Bacterial Meningitis,viêm màng não do vi trùng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Barriers to Learning,các rào cản trong việc học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Barriers to Participation,rào cản/ khó khăn trong việc tham gia hoạt động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Baseline Assessment,đánh giá ranh giới,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Behaviour,hành vi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Behavioural Difficulties,"khó khăn, rối loạn về hành vi",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Behavioural Intervention,can thiệp hành vi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Benign Tumour,bứu lành tính,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Bilirubin,sác tố da cam,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Bimodal Deviation,độ lệch hai phương thức (mode),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Bladder,bàng quang,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Blind,mù,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Blindness,mù,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Blood Cells,tế bào máu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Blood Stream,dòng máu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Body/Kinesthetic Intelligence,tính thông minh về vận động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Braille,chữ Braille (cho người khiếm thị),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Brain,bộ não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Brain Paralysis,bệnh bại/ liệt não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Brainstorming,động não (suy nghĩ về nhiều khía cạnh của vấn đề),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Brain Tumours,u não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Bullying,"nạn đe dọa, ức hiếp (của học sinh lớn đối với học sinh nhỏ hơn)",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cataracts,bệnh đục nhân mắt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Calcium,calcium,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cancer,ung thư,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Case Studies,nghiên cứu theo trường hợp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cell Membrane,màng tế bào,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cerebral Malaria,bệnh sốt rét não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cerebral Palsy,bệnh bại/ liệt não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cerebrospinal Fluid,dịch não tủy,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cesarean Birth,sinh mổ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Challenging Behaviour,hành vi thách thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Characteristics,đặc điểm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Child Development,sự phát triển ở trẻ em,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Chronic Health Conditions,điều kiện sức khỏe mãn tính,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Causal Relationships,mối quan hệ nhân quả,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Challenging Behaviour,hành vi thách thức,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Checklists,bản danh mục (kiểm tra),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Chicken Pox,bệnh thủy đậu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Child Friendly Methodology,phuơng pháp (dạy học) thân thiện với trẻ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Child Study,nghiên cứu trẻ em,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Children working in groups,học sinh làm việc theo nhóm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Chromosome,nhiễm sắc thể,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Clarity of purpose,mục đích rõ ràng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Class Management,quản lý lớp học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Classification,phân loại,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Classroom interventions,can thiệp trong lớp học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Classroom accommodations,điều chỉnh trong lớp học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cleft Palate,chứng hở vòm miệng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Clinical Findings,kết quả lâm sàng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cluster Groups,(các) nhóm âm ghép,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Collaboration,hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Collaborative Learning,học tập hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Collaborative Management,quản lý hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Collaborative Teachers,giáo viên hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Common Bacteria,vi trùng chung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Communicate,giao tiếp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Communication,sự giao tiếp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Communicative Status,vị thế giao tiếp,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Community,cộng đồng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Components,thành phần,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Comprehension,sự nhận thức/ lĩnh hội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Concepts,(các) khái niệm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Conceptual Criteria,(các) tiêu chí khái niệm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Conceptual Skills,kỹ năng khái niệm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Conditional Knowledge,kiến thức điều kiện,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Congenital Cataracts,bệnh đục thủy tinh thể bẩm sinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Congenital Disorders,rối lọan bẩm sinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Congenital Metabolic Disorder,sự rối lọan chức năng chuyển hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Conservation,sự bảo tồn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Consolidation,củng cố,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Constancy,tính kiên nhẫn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Construct,cấu trúc bài kiểm tra,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Construct of the World,kiến tạo thế giới,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Construct Validity,tính hiệu lực về cấu trúc,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Content,nội dung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Content Validity,tính hiệu lực về nội dung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Continuous Assessment,đánh giá liên tục,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Constructive Feedback,phản hồi mang tính xây dựng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Co-operative Behaviours,hành vi hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Co-operative Groups,(các) nhóm hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Co-operative Learning,học hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Co-operative Structures,cấu trúc hợp tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Copying,sao chép,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Corneal Disorders,rối loạn giác mạc,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cortical Visual Impairment,suy yếu thị lực,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Counseling,lời hướng dẫn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cough,ho gà,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Craniofacial Anomalies,"sự bất thường về sọ, mặt",Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Criterion-based Assessment,đánh giá dựa trên tiêu chí,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Criterion Validity,tính hiệu lực về tiêu chí,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Critical Thinking,óc phê phán,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cross Contamination,sự nhiễm bệnh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Culture,văn hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cultural Sensitivity,nhạy cảm về văn hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cultural Background,hoàn cảnh văn hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cultural Considerations,sự cân nhắc về các vấn đề văn hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cultural Development,sự phát triển về mặt văn hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Curriculum,chương trình học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Curriculum Components,bộ phận trong chương trình học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Curriculum Differentiation,khác biệt trong chương trình học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Curriculum-based Assessment,đánh giá dựa trên chương trình học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cyst,u nang,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Cytomeglavirus,(CMV) một lọai của nhóm virus herpes,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Data-based Research,nghiên cứu dựa trên dữ liệu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Decibels,đêxiben (đơn vị đo âm thanh),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Declarative Knowledge,kiến thức tuyên nhận,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Demonstration,sự biểu diễn,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Deployment,sự triển khai,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Developing correct letter formation skills,phát triển kỹ năng viết đúng chính tả,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Developing fine motor control,phát triển kỹ năng vận động tinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Developing problem solving skills,phát triển kỹ năng giải quyết vấn đề,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Development,sự phát triển,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Development Function,chức năng phát triển,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Developmental Apraxia,sự phát triển chứng mất dùng động tác,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Developmental Checklists,bản danh mục về phát triển,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Developmentally appropriate experiences,các kinh nghiệm thích hợp về phát triển,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Deviation Increments,số gia độ lệch,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Diabetes,bệnh tiểu đường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Diabetic Retinopathy,bệnh võng mạc do tiểu đường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dictation,bài chính tả (học)/ sự sai khiến (quản lý),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Differences,(các) khác biệt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Differentiated Instructional Processes,(các) quá trình giảng dạy khu biệt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Differentiation,sự phân biệt,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Difficulty understanding,khó khăn trong việc hiểu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
cause relationships,các mối quan hệ nguyên nhân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Difficulty understanding,khó khăn trong việc hiểu,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
effect relationships,các mối quan hệ kết quả,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Difficulty with memory,khó khăn ghi nhớ,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Difficulty with sequencing,khó khăn xác lập chuỗi (sự việc),Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dimension,phương hướng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Displacement Activity,hoạt động thay thế,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Diversity,sự đa dạng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dominant Gene,gene trội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Down Syndrome,hội chứng Down,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Duration Recording,lập hồ sơ theo thời lượng,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dynamic Assessment,đánh giá năng động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dynamic Lessons,bài học năng động,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dyskinetic Cerebral Palsy,rối loạn não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dyslexia,chứng khó đọc,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Dysplastic Ear,chứng loạn sản tai,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Ear Canal,ống tai,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Ear Infections,nhiễm trùng tai,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Early Intervention,can thiệp sớm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Ecological Assessment,đánh giá sinh thái,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Educationally Excluded Children,trẻ không được đi học,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Effective,có hiệu quả,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Effective Individual Performance,thành tích học tập có hiệu quả của cá nhân,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Effective Organisational Performance,thành tích tổ chức có hiệu quả,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Effective Team Performance,thành tích học tập có hiệu quả của nhóm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Electrochemical Impulses,sức đẩy điện hóa,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Electrodes,điện cực,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Emotional Development,phát triển (về mặt) tình cảm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Emotional Difficulties,rối loạn cảm xúc,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Emotional Status,trạng thái cảm xúc,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Emotions,tình cảm,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Encephalitis,viêm não,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Endocrine Glands,tuyến nội tiết,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Endometriosis,viêm màng trong tử cung,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Engagement,sự tham gia,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Engaging Learning Activities,các hoạt động tham gia học tập,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Entry Level,trình độ đầu vào,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Environmental Consideration,xem xét điều kiện môi trường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Environmental Exploration,khám phá môi trường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Environmental Factors,các nhân tố môi trường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Environmental Strategies,(các) phương pháp liên quan đến môi trường,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Epilepsy,bệnh động kinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Epileptic Seizure,lên cơn động kinh,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Epispadias,lỗ tiểu lệch trên,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Equality of Opportunity,công bằng về cơ hội,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Error Analysis,phân tích lỗi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
Error Variance,khác biệt lỗi,Nguồn: Dạy và học tích cực - http://atl.edu.net.vn/glossary-of-education-terms
