"ACE Inhibitors"	"chất ức chế ACE"
"Acephalous"	"không đầu"
"acclimatization."	"(sự) thuần hoá"
"accommodation"	"(sự) thích nghi, thích ứng"
"accretion"	"(sự) bồi thêm, sinh trưởng thêm"
"acellular"	"vô bào, phi bào, không tế bào"
"acentric"	"không trung tiết, không tâm động"
"acentrous"	"không thân cột sống"
"adoral"	"gần miệng, bên miệng"
"ADP"	"viết tắt của Adenosine Diphosphate"
"adrectal"	"gần ruột thẳng, bên ruột thẳng"
"adrenal"	"gần thận, (thuộc) tuyến trên thận, tuyến thượng thận"
"adrenal cortex"	"vỏ tuyến trên thận, vỏ tuyến thượng thận"
"adrenal gland"	"tuyến thượng thận"
"adrenal medulla"	"tuỷ tuyến trên thận, tuỷ tuyến thượng thận"
"adrenaline"	"adrenalin"
"adrenergic"	"gây tiết dạng adrenalin, giải phóng dạng adrenalin"
"adrenergic fibres"	"sợi tác động kiểu adrenalin"
"adrenocortical function"	"chức năng vỏ trên thận"
"adrenocorticotrophic hormone"	"hormon vỏ trên thận"
"adrenogenital syndrome"	"hội chứng sinh dục trên thận"
"adrenoreceptor"	"thụ quan adrenalin"
"adult period of development"	"giai đoạn trưởng thành của sự phát triển"
"adult stem cell"	"tế bào gốc trưởng thành"
"adventitia"	"cấu trúc phụ, cấu trúc bất định"
"adventitia"	"áo vỏ"
"adventitious"	"(thuộc) áo vỏ"
"adventitious"	"lạc chỗ, bất định"
"adventive"	"ngoại lai, mọc tự nhiên"
"advertisement"	"(sự) quảng cáo, mời gọi, báo hiệu"
"aedeagus"	"thể giao cấu, dương cụ, dương hành"
"aegithognathous"	"(có) hàm-vòm miệng rời"
"aeration of soil"	"(sự) thoáng khí của đất"
"aerenchyma"	"mô khí"
"acervulate"	"(có) bó cuống"
"acervulus"	"bó cuống"
"acetabular bone"	"xương không ống"
"acetabulum"	"miệng giác"
"acetabulum"	"lỗ chân"
"acetabulum"	"ổ khớp"
"acetabulum"	"múi nhau"
"acetic fermentation"	"lên men axetic"
"acetolactate synthase"	"synthase acetolactat"
"acetyl carnitine"	"acetyl carnitin"
"acetyl CoA"	"acetyl CoA"
"acetyl co-enzyme a"	"acetyl co-enzym a"
"acetylation"	"acetyl hoá"
"acetylcholin"	"acetycholin"
"acetylcholinesterase"	"acetylcholinesteraza"
"acetyl-coa"	"acetyl-coa"
"acetyl-coa carboxylase"	"acetyl-coa carboxylaza"
"achaeriocarp"	"quả đóng"
"achene"	"quả đóng"
"Achilles tendon"	"gân Achilles"
"achlorhydria"	"(sự) thiếu toan dịch vị"
"achondroplasia"	"(chứng) loạn sản sụn"
"achondroplastic"	"(thuộc) loạn sản sụn"
"achroglobin"	"globulin không màu"
"acicular"	"(có) dạng gai"
"acicular"	"dạng gai"
"aciculum"	"lông cứng gốc"
"acid"	"axit"
"acid-base balance"	"cân bằng axit bazơ"
"acid deposition"	"kết tủa axit"
"acid rain"	"mưa axit"
"acid soil complex"	"phức hợp đất axit"
"acid-base metabolism"	"trao đổi bazơ-axit"
"acidic fibroblast growth factor (AFGF)"	"nhân tố sinh trưởng nguyên bào sợi axit"
"acidosis"	"(sự) nhiễm axit, sinh axit"
"acidyty"	"độ axit, tính axit, độ chua"
"acinar cells"	"tế bào tuyến phế nang"
"aciniform"	"(có) dạng chùm quả"
"acinostele"	"bó mạch  dạng  chùm"
"acne"	"mụn trứng cá"
"acoelomate"	"không khoang, thiếu khoang"
"acoelomate triploblastica"	"động vật ba lá phôi không thể khoang"
"acoelomatous"	"không khoang, thiếu khoang"
"acoelous"	"không khoang ruột, thiếu khoang ruột"
"acontia"	"dây tơ vị"
"Ac-P"	"Ac-P"
"ACP (acyl carrier protein)"	"protein mang acyl"
"acquired behaviour"	"tập tính thu được, tập tính mắc phải"
"acquired character"	"tính trạng tập nhiễm"
"acquired immune deficiency syndrome (AIDS)"	"hội chứng thiểu năng miễn dịch tập nhiễm (AIDS)"
"acquired immunity"	"miễn dịch tập nhiễm, miễn dịch thu được"
"acquired immunodeficiency syndrome"	"hội chứng thiếu hụt miễn dịch tập nhiễm"
"acquired mutation"	"đột biến tập nhiễm"
"acquired variation"	"biến dị tập nhiễm"
"acrania"	"lớp không sọ"
"Acrasiomycetes"	"lớp Acrasiomycetes, lớp Mốc nhầy tế bào acriflavine acriflavin"
"acrocarp"	"thể quả ngọn"
"acrocentric"	"tâm ở đầu, tâm ở ngọn, nhiễm sắc thể tâm ngọn"
"acrodont"	"(có) răng đỉnh"
"acromegaly"	"bệnh to đầu ngón"
"acromial"	"(thuộc) mỏm bả"
"acromion"	"mỏm bả"
"acron vùng"	"trên miệng"
"acropetal"	"hướng ngọn"
"acropodium"	"phần ngón"
"acrosomal"	"(thuộc) thể đỉnh"
"acrosome"	"thể đỉnh"
"acrosome reaction"	"phản ứng thể đỉnh"
"acrotrophic"	"dinh dưỡng ở cực trên"
"acrylamide gel electrophoresis"	"(phép) điện di trên gel acrylamid"
"ACTH"	"hormon kích vỏ thượng thận, ACTH"
"actinic radiations"	"bức  xạ  quang  hoá"
"actinin"	"actinin"
"actinobiology"	"sinh học bức xạ"
"actinoid"	"(có) dạng toả tia,  dạng sao"
"actinomorphic"	"(có) dạng toả tia, đối xứng toả tia"
"Actinomycetales"	"bộ Khuẩn tia"
"Actinopterygii"	"phụ lớp Cá vây tia"
"Actinozoa"	"lớp San hô"
"acrylamide gel"	"gel acrylamid"
"ACTH"	"viết tắt của AdrenoCorticoTropic Hormone (corticotropin)"
"actin"	"actin"
"actinal"	"(thuộc) tấm toả tia"
"action potential"	"thế hoạt động"
"action spectrum"	"quang phổ hoạt động"
"activated"	"(được) kích hoạt, được hoạt hoá"
"activation"	"(sự) hoạt hoá, kích hoạt"
"activation domain of transcription factor"	"vùng hoạt hoá của các yếu tố phiên mã"
"activation effects of hormones"	"hiệu quả tác động của hormon"
"activation  energy"	"năng  lượng  hoạt  hoá"
"activator"	"phần tử kích thích"
"activator"	"chất kích thích"
"activator (of enzyme)"	"chất hoạt hoá (enzym)"
"activator (of gene)"	"nhân tố hoạt hoá (gen)"
"active chromatin"	"chất nhiễm sắc hoạt động"
"active site"	"vị trí hoạt động, điểm hoạt động"
"active space"	"không gian hoạt động"
"active transport"	"vận chuyển tích cực"
"activity"	"hoạt độ, độ phóng xạ"
"Aculeata"	"nhóm Có vòi"
"acuminate"	"thuôn dài, nhọn mũi"
"active transport"	"vận chuyển tích cực, vận chuyển chủ động"
"activity coefficient"	"hệ số hoạt tính"
"activity-based screening"	"sàng lọc dựa trên hoạt tính"
"acuminulate"	"thuôn dài, nhọn mũi"
"acupuncture"	"sự châm cứu"
"acurontm gene"	"gen acuron"
"acute"	"sắc nhọn"
"acute"	"cấp tính"
"acute anterior poliomyelitis"	"viêm tuỷ xám sừng trước cấp tính"
"acute inflammatory recaction"	"phản ứng viêm ác tính"
"acute phase substances"	"(các) chất giai đoạn cấp"
"acute transfection"	"lây truyền cấp"
"acylcarnitine transferase"	"acylcarnitin transferaza"
"acyl-CoA"	"axyl - CoA"
"acylic"	"xếp xoắn"
"Adam’s apple"	"trái táo Adam, trái lộ hầu"
"adambulacral"	"bên chân mút, cạnh chân mút"
"adaptation"	"(sự) thích nghi"
"adaptation of the eye"	"(sự) thích nghi của mắt"
"adaptive radiation"	"phát toả thích nghi"
"adaptor hypothesis"	"giả thuyết thích ứng"
"adaxial"	"hướng trục"
"ADBF"	"viết tắt của Azurophil-Derived Bactericidal Factor"
"addict"	"người nghiện, con nghiện"
"Addison’s anaemia"	"(bệnh) thiếu máu Addison"
"Additive experiment"	"thí nghiệm bổ sung"
"additive genetic variance"	"phương sai di truyền cộng hợp"
"adductor"	"cơ khép"
"adeiphous"	"(có) bó chỉ nhị"
"adendritic"	"không nhánh, không đọt"
"adenine"	"adenin 6- Aminopurin"
"adenitis"	"viêm tuyến"
"adenoid"	"hạch"
"adenopathy"	"bệnh hạch, bệnh tuyến"
"adenosine diphosphat"	"ADP"
"adenosine monophosphat"	"AMP"
"adenosine triphosphate"	"adenosin triphotphat"
"adenyl cyclase"	"adenyl cyclaza"
"adhesion"	"(sự) dính bám"
"adhesion plaque"	"tấm dính"
"adhesive"	"tuyến bám"
"adipocyte"	"tế bào mỡ"
"adipose tissue"	"mô mỡ"
"adaptation"	"thích nghi, thích ứng"
"adaptive enzymes"	"enzym thích ứng"
"adaptive mutation"	"đột biến thích ứng"
"adaptor"	"adaptor, adaptơ"
"additive genes"	"(các) gen cộng hợp"
"additive variance"	"biến dị cộng hợp"
"adenilate cyclase"	"cyclaza adenilat"
"adenine"	"adenin"
"adenosine"	"adenosin"
"adenosine diphosphate (ADP)"	"diphosphat adenosin"
"adenosine monophosphate (AMP)"	"monophosphat adenosin"
"adenosine triphosphate (ATP)"	"triphosphat adenosin"
"adenovirus"	"adenovirut"
"adequate intake (ai)"	"hấp thu phù hợp"
"adhesion molecule"	"phân tử bám"
"adhesion protein"	"protein bám"
"adipocytes"	"tế bào tạo mỡ"
"adipocytokines"	"phân bào mỡ"
"adipokines"	"adipokin (hormon do các tế bào adipoza tiết ra)"
"adiponectin"	"tuyến mỡ"
"adipose"	"béo, chứa mỡ, adipoza"
"adipose triglyceride lipase"	"lipaza triglycerid béo"
"adjuvants"	"chất bổ trợ, phụ gia, tá dược"
"adlacrimal"	"xương lệ giả"
"ADME tests"	"phép thử ADME"
"ADME/Tox"	"phép thử ADME/Tox (Absorption, Distribution, Metabolism, Elimination, and Toxicity, đối với một chất đưa vào cơ thể)"
"adnate"	"dính bên, gắn bên"
"adoptive cellular therapy"	"phép trị liệu bằng tế bào mượn"
"adoptive immunization"	"gây miễn dịch bằng tế bào mượn"
"ADP"	"viết tắt của Adenosine DiPhosphate"
"adrenocorticotropic hormone (corticotropin)"	"hormon corticotropin"
"aerobe"	"sinh vật ưa khí"
"aerobic"	"ưa khí, hiếu khí"
"aerobic metabolism"	"trao đổi ưa khí, cần khí"
"aerobic respiration"	"hô hấp ưa khí"
"aerobic training"	"vận chuyển hiếu khí"
"aestival"	"(thuộc)  mùa hè"
"aestivation"	"(sự) ngủ hè"
"aetiology"	"bệnh căn"
"afebrile"	"hết cơn sốt, không sốt"
"affective behaviour"	"tập tính xúc cảm"
"affective disorders"	"(các) rối loạn xúc cảm"
"afferent"	"đưa tới, mang tới, hướng tâm"
"afferent arc"	"cung mang"
"afferent columns"	"cột hướng tâm"
"afferent inhibition"	"kìm hãm hướng tâm"
"affinity"	"ái lực"
"affinity chromatography"	"sắc khí ái lực"
"affinity constant"	"hằng số ái lực"
"AFGF"	"viết tắt của Acidic Fibroblast Growth Factor"
"aflagellar"	"không lông roi"
"aflatoxins"	"aflatoxin"
"afterbirth"	"bọc nhau sổ"
"after-images"	"ảo ảnh"
"after-ripening"	"chín tiếp, chín thêm"
"agamic"	"vô phôi, vô tính"
"affinity maturation"	"chín ái lực"
"affinity tag"	"thẻ ái lực"
"aflatoxin"	"aflatoxin"
"AFLP"	"viết tắt của Amplified Fragment Length Polymorphism"
"agamogenesis"	"(sự) sinh sản vô tính, sinh sản vô giao, sinh sản đơn tính"
"agamogony"	"(sự) sinh sản phân cắt, sinh sản vô tính"
"agamont"	"thể phân cắt, thể vô tính"
"agamospermy"	"(sự) sinh sản bằng hạt vô tính"
"agar"	"aga"
"agaric"	"nấm mũ"
"Agaricales"	"bộ Nấm mũ"
"agarics"	"bộ Nấm mũ"
"agarose"	"agarose, thạch tinh"
"agarose gel electrophoresis"	"(phép) điện di gel thạch tinh"
"age-classes"	"lớp tuổi, trong các mô hình khai thác"
"age distribution"	"phân bố (theo) tuổi"
"age structure"	"cấu trúc tuổi"
"ageing"	"hoá già"
"agenesis"	"(sự) không phát triển, kém phát triển"
"ageotropic"	"không hướng đất"
"agglutination"	"(sự) ngưng kết"
"agglutination"	"dính kết"
"agglutinin"	"ngưng kết tố, aglutinin"
"aggregate fruit"	"(dạng) quả tụ, quả tụ"
"aggregate species"	"loài tập hợp"
"aggregated distributions"	"phân bố quần tụ"
"aggregation"	"(sự) quần tụ, quần tập"
"aggregation-specific mARNs"	"cụm mARN đặc hiệu"
"aggregative response"	"trả lời, đáp ứng quần tụ"
"aggressive behaviour"	"hành vi xâm chiếm, tập tính xâm chiếm"
"aggressive mimicry"	"nguỵ trang tấn công"
"aggression"	"(sự) xâm chiếm"
"aging"	"(sự) hoá già, già đi"
"aglossal"	"không lưỡi"
"aglosia"	"(sự) thiếu lưỡi bẩm sinh"
"Agnatha"	"nhóm Không hàm"
"aglycon"	"aglycon"
"aglycone"	"aglycone"
"agnosia"	"(sự) mất nhận thức"
"agonistic behaviour"	"tập tính thánh đấu"
"agonists"	"đấu thủ"
"agoraphobia"	"(chứng) sợ khoảng trống"
"agraceutical"	"nông dược"
"agraphia"	"(sự) mất khả năng viết"
"agrestal"	"mọc trên đất trồng"
"agriceuticals"	"nông dược"
"agriculture"	"nghề nông, nông nghiệp"
"Agrobacterium tumefaciens"	"Agrobacterium tumefaciens"
"agroforestry"	"nông lâm nghiệp"
"AIDS"	"viết tắt của Acquired Immune Deficiency Syndrome (AIDS)"
"air bladder"	"bóng hơi"
"air chamber"	"buồng khí"
"air layering"	"chiết cành"
"air monitor"	"máy kiểm tra không khí"
"AI"	"viết tắt của Adequate Intake"
"air plant"	"thực vật biểu sinh"
"air sinuses"	"xoang khí"
"air space"	"khoảng khí"
"air temperature"	"nhiệt độ không khí"
"airflow"	"dòng khí"
"akaryote"	"tế bào không nhân, tế bào thiếu nhân"
"akene"	"quả đóng"
"akinete"	"bào tử vỏ dày"
"Ala"	"Ala"
"ala spuria"	"cánh tạp"
"alanine (ala)"	"alanin"
"alar"	"(thuộc) cánh"
"alar plate"	"ống thần kinh dạng tấm"
"alary"	"(thuộc) cánh"
"alary muscles"	"cơ cánh"
"alate"	"(có) cánh"
"alate"	"(có) môi rộng"
"alate"	"(có) gai ba tia"
"albinism"	"bạch tạng"
"albino"	"thể bạch tạng"
"albinotic"	"(thuộc) thể bạch tạng"
"albumen"	"lòng trắng trứng"
"albumin"	"albumin"
"albuminous"	"(có) phôi nhũ"
"albuminous"	"(thuộc) lòng trắng trứng"
"albumin"	"albumin"
"albuminous cell"	"tế bào albumin"
"alcohol"	"rượu"
"alcoholic fermentation"	"len men rượu"
"alcoholism"	"(bệnh) nghiện rượu"
"aldehyde"	"aldehyt"
"aldohexoses"	"(các) aldohexoza"
"aldolase"	"aldolaza"
"aldose"	"aldoza"
"aldosterone"	"aldosteron"
"aldrin"	"aldrin"
"alecithal"	"thiếu noãn hoàng, không lòng đỏ"
"aleurone"	"hạt aleuron"
"alexin"	"(chứng) mù đọc"
"algae"	"tảo"
"algal beds"	"tảo bám đáy, sức sản suất sơ cấp và sinh khối"
"algology"	"tảo học"
"algorithm (bioinformatics)"	"thuật toán (trong Tin sinh học)"
"alicin"	"alicin"
"alien"	"loài nhập nội, loài lạ"
"alimentary canal"	"ống (dinh dưỡng) tiêu hoá"
"Alismatidae"	"phân lớp Trạch tả"
"alisphenoid"	"xương cánh bướm"
"alien species"	"loài lạ, loài nhập nội, loài được đưa từ bên ngoài vào."
"alkaline hydrolysis"	"thuỷ phân bằng kiềm"
"alkaline phosphatase"	"phosphataza kiềm"
"alkalinity"	"độ kiềm"
"alkaloid"	"alkaloid"
"alkylating drug"	"thuốc alkyl hoá"
"allantoic"	"(thuộc) túi niệu"
"allantois"	"túi niệu"
"Allee effect"	"hiệu ứng Allee"
"allele"	"alen"
"allelic"	"(thuộc) alen"
"allelic exclusion"	"(sự) đào thải alen"
"allelomorph"	"alen, gen đẳng vị, gen tương ứng"
"allelopathy"	"ảnh hưởng tương hỗ"
"allen,s rule"	"định luật Allee"
"allergen"	"dị  nguyên"
"allergic"	"(thuộc) dị ứng"
"allergic rhinitis"	"viêm mũi dị ứng"
"allergies (airborne)"	"dị ứng (do không khí)"
"allergies (foodborne)"	"dị ứng (do thức ăn)"
"allicin"	"allicin"
"alopecia"	"rụng tóc, rụng lông"
"allogenic"	"dị sinh"
"allosteric enzymes"	"enzym dị lập thể"
"allosteric protein"	"protein dị lập thể"
"allosteric site"	"vị trí dị  lập thể"
"allosterism"	"dị lập thể"
"allotetraploid"	"thể dị tứ bội, (thuộc) dị tứ bội"
"allotropous flower"	"hoa ưa mọi côn trùng"
"allotype"	"alotyp"
"allozymes"	"alozym, dị enzym"
"allergy"	"dị ứng"
"alliaceous"	"hăng say"
"allo-antigeri"	"kháng nguyên khác alen cùng loài"
"allochthonous material"	"vật liệu ngoại lai"
"allogamy"	"dị giao"
"allogenic succession"	"diễn thế dị sinh"
"allograft"	"dị ghép"
"allomeric"	"đồng hình dị ghép"
"allometric growth"	"(sự) sinh trưởng so le, tương quan sinh trưởng"
"allometric relationships"	"tương quan sinh trưởng"
"allometry"	"tương quan sinh trưởng"
"allomone"	"alomon, chất biệt loài"
"allopatric"	"khác vùng phân bố"
"allopatric speciation"	"hình thành loài khác vùng phân bố"
"allopolyploid"	"thể dị đa bội"
"all-or-non law"	"luật tất cả hoặc không"
"allotypic monoclonal antibodies"	"kháng thể đơn dòng dị kiểu"
"allozyme"	"allozym"
"Aloe vera L."	"Aloe vera L."
"alpha amylase inhibitor"	"chất ức chế amilaza alpha"
"alpha diversity"	"độ đa dạng alpha"
"alpha galactosides"	"galactosid alpha"
"alpha helix"	"chuỗi xoắn alpha"
"alpha helix"	"chuỗi xoắn alpha"
"alpha interferon"	"interferon alpha"
"alpha linolenic (α-linolenic) acid"	"axit linoleic alpha"
"alpha-amylase"	"alpha amylaza"
"alpha-chaconine"	"α-chaconin"
"alpha-chain"	"chuỗi alpha"
"alphafetoprotein"	"alphafetoprotein, protein bào thai alpha"
"alpha-neurotoxin"	"độc tố thần kinh alpha"
"alpha-rhythm"	"nhịp alpha"
"alpha-rumenic acid"	"axit alpha-rumenic"
"alpha-solanine"	"alpha-solanin"
"alpha-synuclein"	"alpha-synuclein"
"alpine"	"(thuộc) núi cao"
"alpine ecosystem"	"(thuộc) hệ sinh thái núi cao, sức sản xuất sơ cấp và sinh khối"
"alpine tundra"	"tundra, núi cao"
"ALS gene"	"gen ALS"
"alternate"	"xen kẽ, so le, mọc cách, luân phiên, chuyển đổi"
"alternate host"	"vật chủ xen kẽ"
"alternating cleavage"	"phân cắt xoắn ốc"
"alternation of generations"	"luân phiên thế hệ, xen kẽ thế hệ"
"alternative host"	"vật chủ chuyển đổi"
"alternative mRNA splicing"	"tách intron (từ) mARN (theo cách) chuyển đổi"
"alternative pathway of complement activation"	"con đường hoạt hoá bổ thể chuyển đổi"
"alternative splicing"	"tách intron chuyển đổi"
"alternative stable states"	"trạng thái sen kẽ ổn định"
"altitude"	"độ cao (tuyệt đối), độ cao trên mức nước ven biển"
"altitudinal zonation"	"phân vùng theo độ cao"
"altrices"	"chim non yếu, không tự kiếm mồi, cần chăm sóc"
"altruism"	"(tính) vị tha"
"altruistic behavior"	"tập tính tha mồi"
"alula"	"thuỳ cánh, vảy gốc cánh"
"aluminium"	"nhôm"
"alu family"	"họ Alu"
"aluminum resistance"	"kháng nhôm"
"aluminum tolerance"	"chống chịu nhôm"
"aluminum toxicity"	"tính độc của nhôm"
"alveolate"	"(thuộc) lỗ tổ ong"
"alveoli"	"phế nang"
"alveolus"	"hốc, hang, ổ"
"alveolus"	"phế nang"
"alveolus"	"Lỗ chân răng"
"alveolus"	"Xương rãnh bao răng"
"alveolus"	"đầu ống tiết enzym"
"alzheimer's disease"	"bệnh Alzheimer"
"ambisexual"	"lưỡng tính"
"amblyopia"	"(chứng) giảm thị lực"
"ambosexual"	"lưỡng tính"
"ambrosia"	"nấm ambrosia"
"ambulacral groove"	"rãnh chân mút, luồng chân mút"
"ambulatory"	"đi được dùng để đi"
"amcrine cell"	"tế bào không sợi trục"
"alveolar"	"(thuộc) lỗ tổ ong"
"alveolar ducts"	"ống phế nang"
"alveolar gas equation"	"cân bằng khí trong phế nang"
"anal"	"(thuộc) hậu môn"
"amber mutation"	"đột biến amber"
"ambergris"	"long diên hương, hổ phách xám"
"ambient pressue"	"áp suất môi trường"
"ameiosis"	"(sự) không giảm phân"
"amelification"	"(sự) tạo men răng"
"amenorrhea"	"(sự) mất kinh"
"amenorrhoea"	"mất kinh"
"amensalism"	"hội  sinh"
"amentia"	"thiểu năng tâm thần"
"amentiform"	"(có) dạng bông đuôi sóc"
"amentum"	"bông đuôi sóc"
"ametabolic"	"không biến thái"
"american type culture collection (atcc)"	"bộ giống chuẩn của Mỹ"
"ames test"	"phép thử Ames"
"amino acid"	"axit amin"
"amino acid profile"	"dạng hình axit amin (nói lên chất lượng protein tương ứng)"
"amino group"	"nhóm amin"
"aminoacid"	"axit amin"
"aminoacyl-trna"	"aminoacyl-tARN"
"aminocyclopropane carboxylic acid synthase"	"synthaza axit carboxylic aminocyclopropan"
"aminoglycosides"	"aminoglycosid"
"amitosis"	"trực phân"
"amitotic division"	"phân chia trực phân"
"ammonification"	"(sự) amoniac hoá"
"ammonium"	"amonium, NH4"
"ammonization"	"(sự) amoniac hoá, tạo amoniac"
"amnesia"	"(chứng) quên, (chứng) mất trí nhớ"
"amniocentesis"	"(thủ thuật) chọc màng ối"
"amnion"	"màng ối, túi ối"
"Amniota"	"nhóm động vật có màng ối"
"amniote"	"(thuộc) động vật có màng ối"
"amniotic cavity"	"khoang ối"
"amniotic ectoderm"	"ngoại bì ối"
"amniotic eggs"	"trứng động vật có màng ối"
"amniotic fluid"	"dịch ối"
"amniotic folds"	"(các) nếp màng ối"
"Amoebida"	"bộ Amip trần"
"amoebocyte"	"tế bào dạng amíp"
"amoeboid"	"(có) dạng amíp"
"amoeboid movement"	"vận động dạng amip"
"amorphic genes"	"gen không định hình"
"AMP"	"viết tắt của Adenosine MonoPhosphate"
"amphiaster"	"thể hai sao, thể sao kép"
"Amphibia"	"lớp Lưỡng cư"
"amphibians"	"lưỡng cư, sống nửa nước- nửa cạn"
"Amphibious"	"vừa ở cạn, vừa ở nước"
"amphiblastic"	"(thuộc) phôi túi hai cực"
"amphibolic"	"hai phía, hai hướng"
"amphibolic pathway"	"con đường hai hướng"
"amphicondylar"	"hai lồi cầu chẩm"
"amphicondylous"	"hai lồi cầu chẩm"
"amphicribal bundle"	"bó đồng tâm quanh gỗ"
"amphidiploid"	"thể dị bội kép"
"amphimixis"	"(sự) giao phối hữu tính"
"Amphineura"	"lớp Song kinh"
"amphiont"	"hợp tử"
"amphipathic molecules"	"(các) phân tử lưỡng vùng"
"amphiphilic molecules"	"(các) phân tử lưỡng tính"
"amphiphioic"	"(thuộc) libe kép"
"amphiplatyan"	"dẹt hai mặt"
"amphipneustic"	"hai kiểu thở"
"Amphipoda"	"bộ vỏ giáp chân bên"
"amphipodous"	"hai kiểu chân"
"amphirhinal"	"hai hốc mũi, hai lỗ mũi"
"amphistomatal"	"(có) khí khổng ở hai mặt"
"amphistomatic"	"(có) giác mút ở hai đầu"
"amphistomous"	"(có) giác mút ở hai đầu"
"amphithecium"	"vỏ ngoài"
"amphitrichous"	"(có) lông roi hai đầu"
"amphitropous"	"đính ngược"
"ampholines"	"ampholin"
"ampicillin"	"ampixilin"
"amplexicaul"	"ôm thân"
"amphoteric compound"	"hợp chất lưỡng tính"
"ampicilline"	"ampicillin"
"amplexus"	"(sự) cõng ghép đôi"
"amplification"	"(sự) nhân bội, sao chép ra nhiều bản"
"ampulla"	"bóng, bọng, túi, nang"
"ampullary"	"(thuộc) bóng, bọng, túi, nang"
"ampullary organ"	"cơ quan bóng bơi, cơ quan thuỷ tĩnh"
"amyelinate"	"không myelin"
"amplicon"	"amplicon (đơn vị khuếch đại ADN)"
"amplification"	"khuếch đại, nhân"
"amplified fragment length polymorphism"	"đa hình chiều dài các đoạn khuếch đại"
"amplimer"	"amplime (đơn vị khuếch đại ADN)"
"amygdala"	"hạch hạnh"
"amygdala"	"amyđan"
"amylase"	"amylaza"
"amylase inhibitors"	"chất ức chế amylaza"
"amyloid"	"dạng tinh bột"
"amyloid placques"	"vết tinh bột"
"amyloid precursor protein"	"protein tiền chất tinh bột"
"amylolytic"	"(thuộc) phân giải tinh bột, làm tan tinh bột"
"amylopectin"	"amylopectin"
"amylopectin"	"amylpectin"
