"en","vi","description"
"ellipse","đường elip","ɪˈlɪps"
"elliptic","có dạng elip","ɪˈlɪptɪk"
"parabola","đường parabol","pəˈræbələ"
"parabolic","có dạng parabol","ˌpærəˈbɒlɪk"
"hyperbola","đường hyperbol","haɪˈpɜːbələ"
"hyperbolic","có dạng hyperbol","ˌhaɪpəˈbɒlɪk"
"eccentric","tâm sai","ekˈsentrɪk"
"focus foci","tiêu điểm","ˈfəʊkəs//ˈfəʊsaɪ"
"parallel to","song song với","ˈpærəlel tə"
"intersect","giao, cắt","ˌɪntəˈsekt"
"intersection","giao điểm","ˌɪntəˈsekʃən"
"angle","góc","ˈæŋɡəl"
"acute angle","góc nhọn","əˈkjuːt ˈæŋɡəl"
"right angle","góc vuông","raɪt ˈæŋɡəl"
"obtuse angle","góc tù","əbˈtjuːs ˈæŋɡəl"
"solid angle","góc đặc","ˈsɒlɪd ˈæŋɡəl"
"vertex (pl. vertices)","đỉnh","ˈvɜːteks ; ˈvɜːtɪsiːz"
"side","cạnh","saɪd"
"triangle","hình tam giác","ˈtraɪæŋɡəl"
"triangular","có dạng tam giác","traɪˈæŋɡjʊlə"
"equilateral triangle","tam giác đều","ˌiːkwɪˈlætərəl ˈtraɪæŋɡəl"
"isosceles triangle","tam giác cân","aɪˈsɒsəliːz ˈtraɪæŋɡəl"
"right triangle (at A)","tam giác vuông","raɪt ˈtraɪæŋɡəl"
"adjacent","liền kề, kế cận, cạnh kề","əˈdʒeɪsnt"
"secant","cát tuyến","ˈsiːkənt"
"opposite","đối diện, cạnh đối","ˈɒpəzɪt"
"hypotenuse","cạnh huyền","ˌhaɪˈpɒtənjuːz"
"quadrangle","tứ giác","ˈkwɒdræŋɡəl"
"diagonal","chéo, đường chéo","daɪˈæɡənəl"
"rectangle","hình chữ nhật","ˈrektæŋɡəl"
"square","hình vuông","skweə"
"parallelogram","hình bình hành","ˌpærəˈleləɡræm"
"rhombus","hình thoi","ˈrɒmbəs"
"rhombic","có dạng hình thoi","ˈrɒmbɪk"
"trapezoid","hình thang","ˈtræpɪzɔɪd"
"annulus","hình vành khăn","ˈænjʊləs"
"vector","vectơ","ˈvektə"
"tail","gốc của vectơ","teɪl"
"head","đỉnh của vectơ","hed"
"direction","hướng của vectơ","dɪˈrekʃən"
"vertical","thẳng đứng","ˈvɝtɪkəl"
"horizontal","nằm ngang","ˌhɔrɪˈzɑntəl"
"component","thành phần (của vectơ)","kəmˈpəʊnənt"
"magnitude","độ lớn","ˈmæɡnɪtjuːd"
"dot product","tích vô hướng","dɒt ˈprɒdʌkt"
"cross product","tích hữu hướng","krɒs ˈprɒdʌkt"
"cube","hình lập phương","kjuːb"
"cubic","có dạng lập phương","ˈkjuːbɪk"
"sphere","hình cầu","sfɪə"
"spherical","có dạng hình cầu","ˈsferɪkəl"
"cylinder","hình trụ tròn xoay","ˈsɪlɪndə"
"cylindrical","có dạng hình trụ tròn xoay","sɪˈlɪndrɪkəl"
"cone","hình nón","kəʊn"
"conical","có dạng hình nón","ˈkɒnɪkəl"
"sine","hàm sin","saɪn"
"cosine","hàm cos","ˈkəʊsaɪn"
"tangent","hàm tan","ˈtændʒənt"
"cotangent","hàm cotan","ˈkəʊˈtændʒənt"
"inverse sine","hàm arcsin","ɪnˈvɜːs saɪn"
"inverse cosine","hàm arccos","ɪnˈvɜːs ˈkəʊsaɪn"
"inverse tangent","hàm arctan","ɪnˈvɜːs ˈtændʒənt"
"kinematics","động học","ˌkaɪnəˈmætɪks"
"kinematic","động học","ˌkaɪnəˈmætɪk"
"reference frame","hệ quy chiếu","ˈrefrəns freɪm"
"coordinate","tọa độ","ˌkəʊˈɔːdɪneɪt"
"coordinate system","hệ toạ độ","ˌkəʊˈɔːdɪneɪt ˈsɪstəm"
"Cartesian coordinate","tọa độ Đềcác","kɑːˈtiːzjən ˌkəʊˈɔːdɪneɪt"
"polar coordinate","tọa độ cực","ˈpəʊlə ˌkəʊˈɔːdɪneɪt"
"cylindrical coordinate","tọa độ trụ","sɪˈlɪndrɪkəl ˌkəʊˈɔːdɪneɪt"
"spherical coordinate","tọa độ cầu","ˈsferɪkəl ˌkəʊˈɔːdɪneɪt"
"point mass","chất điểm","pɔɪnt mæs"
"translational motion","chuyển động tịnh tiến","trænsˈleɪʃnəl ˈməʊʃən"
"trajectory","quỹ đạo","trəˈdʒektəri"
"linear motion","chuyển động thẳng","ˈlɪnɪə ˈməʊʃən"
"uniform linear motion","chuyển động thẳng đều","ˈjuːnɪfɔːm ˈlɪnɪə ˈməʊʃən"
"circular motion","chuyển động tròn","ˈsɜːkjʊlə ˈməʊʃən"
"uniform circular motion","chuyển động tròn đều","ˈjuːnɪfɔːm ˈsɜːkjʊlə ˈməʊʃən"
"displacement","độ dời","dɪsˈpleɪsmənt"
"distance","khoảng cách","ˈdɪstəns"
"meter","(đơn vị) mét","ˈmiːtɚ"
"second","(đơn vị) giây","ˈsɛkənd"
"angular displacement","độ dời góc","ˈæŋɡjʊlə dɪsˈpleɪsmənt"
"speed","tốc độ","spiːd"
"angular speed","tốc độ góc","ˈæŋɡjʊlə spiːd"
"velocity","vận tốc","vəˈlɒsɪti"
"angular velocity","vận tốc góc","ˈæŋɡjʊlə vəˈlɒsɪti"
"acceleration","gia tốc","əkˌseləˈreɪʃən"
"angular acceleration","gia tốc góc","ˈæŋɡjʊlər əkˌseləˈreɪʃən"
"average speed/velocity","tốc độ/vận tốc trung bình","ˈævərɪdʒ spiːd - vəˈlɒsɪti"
"average acceleration","gia tốc trung bình","ˈævərɪdʒ əkˌseləˈreɪʃən"
"instantaneous speed/velocity","tốc độ/vận tốc tức thời","ˌɪnstənˈteɪnɪəs spiːd - vəˈlɒsɪti"
"centripetal acceleration","gia tốc hứơng tâm","senˈtrɪpɪtəl əkˌseləˈreɪʃən"
"tangential acceleration","gia tốc tiếp tuyến","tænˈdʒenʃəl əkˌseləˈreɪʃən"
"free fall","sự rơi tự do","friː fɔːl"
"dynamics","động lực học","daɪˈnæmɪks"
"dynamic","động lực học","daɪˈnæmɪk"
"force","lực","ˈfɔːrs"
"exert","tác dụng (lực)","ɪɡˈzɝt"
"deform","biến dạng","ˌdiˈfɔːrm"
"addition of force","phép tổng hợp lực","əˈdɪʃən əv ˈfɔːrs"
"resolution of force","phép phân tích lực","ˌrezəˈluːʃən əv ˈfɔːrs"
"free-body diagram","giản đồ lực","friː ˈbɑːdi ˈdaɪəˌɡræm"
"net force","hợp lực","ˈnet ˈfɔːrs"
"gravitational force","lực hấp dẫn","ˌɡrævɪˈteɪʃənəl ˈfɔːrs"
"law of universal gravitation","định luật vạn vật hấp dẫn","ˈlɑː əv ˌjuːnɪˈvɝːsəl ˌɡrævɪˈteɪʃən"
"gravity","trọng lực","ˈɡrævɪti"
"weight","trọng lượng","ˈweɪt"
"weightless","không trọng lượng","ˈweɪtləs"
"weightlessness","trạng thái không trọng lượng","ˈweɪtləsnəs"
"mass","khối lượng","ˈmæs"
"inertia","quán tính","ˌɪˈnɝːʃə"
"friction force","lực ma sát","ˈfrɪkʃən ˈfɔːrs"
"coefficient of friction","hệ số ma sát","ˌkoʊɪˈfɪʃnt əv ˈfrɪkʃən"
"static friction","lực ma sát nghỉ","ˈstætɪk ˈfrɪkʃən"
"kinetic friction","lực ma sát động","kɪˈnetɪk ˈfrɪkʃən"
"rolling friction","lực ma sát lăn","ˈroʊlɪŋ ˈfrɪkʃən"
"normal force","phản lực","ˈnɔːrməl ˈfɔːrs"
"tension","lực căng (dây)","ˈtenʃən"
"elastic force","lực đàn hồi","əˈlæstɪk ˈfɔːrs"
"spring","lò xo","ˈsprɪŋ"
"spring (stiffness) constant","độ cứng của lò xo","ˈsprɪŋ ˈstɪfnəs ˈkɑːnstənt"
"centripetal force","lực hướng tâm","senˈtrɪpɪtəl ˈfɔːrs"
"centrifugal force","lực ly tâm","senˈtrɪfjɪɡəl ˈfɔːrs"
"inclined plane","mặt phẳng nghiêng","ˌɪnˈklaɪnd ˈpleɪn"
"pulley","ròng rọc","ˈpʊli"
"projectile motion","chuyển động của đạn tử (ném ngang, ném xiên)","prəˈdʒektəl ˈmoʊʃən"
"range","tầm xa","ˈreɪndʒ"
"maximum height","độ cao tối đa","ˈmæksəməm ˈhaɪt"
"rigid body","vật rắn","ˈrɪdʒɪd ˈbɑːdi"
"solid object","vật rắn","ˈsɑːlɪd ˈɑːbdʒɪkt"
"sphere","hình cầu","ˈsfɪr"
"hollow sphere","hình cầu rỗng","ˈhɑloʊ ˈsfɪr"
"cylinder","hình trụ đặc","ˈsɪlɪndɚ"
"hoop","hình trụ rỗng","ˈhuːp"
"disk","hình đĩa","ˈdɪsk"
"rod","thanh thẳng","ˈrɑd"
"center of mass","khối tâm","ˈsentər əv ˈmæs"
"center of gravity","trọng tâm","ˈsentər əv ˈɡrævɪti"
"translational motion","chuyển động tịnh tiến","trænsˈleɪʃnəl ˈməʊʃən"
"rotational motion","chuyển động quay","roʊˈteɪʃənəl ˈmoʊʃən"
"rotate","quay","roʊˈteɪt"
"spin","quay","ˈspɪn"
"torque","mômen lực","ˈtɔːrk"
"clockwise","cùng chiều kim đồng hồ","ˈklɑːˌkwaɪz"
"counter-clockwise","ngược chiều kim đồng hồ","ˌkæʊntəˈklɑːkwaɪz"
"angular momentum","mômen động lượng","ˈæŋɡjələr moˈmentəm"
"moment of inertia","mômen quán tính","ˈmoʊmənt əv ˌɪˈnɝːʃə"
"rotational inertia","quán tính quay","roʊˈteɪʃənəl ˌɪˈnɝːʃə"
"balance","làm cho cân bằng","ˈbæləns"
"balance","cái cân đòn","ˈbæləns"
"lever","đòn bẩy","ˈlevər"
"lever arm","cánh tay đòn","ˈlevər ˈɑːrm"
"fulcrum","điểm tựa","ˈfʊlkrəm"
"equilibrium","trạng thái cân bằng","ˌikwəˈlɪbriəm"
"static equilibrium","cân bằng tĩnh","ˈstætɪk ˌikwəˈlɪbriəm"
"base","mặt chân đế","ˈbeɪs"
"stable","bền vững","ˈsteɪbəl"
"stabilize","làm cho bền vững","ˈsteɪbəˌlaɪz"
"stable equilibrium","cân bằng bền","ˈsteɪbəl ˌikwəˈlɪbriəm"
"unstable equilibrium","cân bằng không bền","ʌnˈsteɪbəl ˌikwəˈlɪbriəm"
"neutral equilibrium","cân bằng phiếm định","ˈnuːtrəl ˌikwəˈlɪbriəm"
"(force) couple","ngẫu lực","ˈfɔːrs ˈkʌpəl"
"precess","tiến động","priˈses"
"precession","sự tiến động","priˈseʃən"
"work","công","ˈwɝːk"
"power","công suất","ˈpaʊər"
"mechanical energy","cơ năng","məˈkænɪkəl ˈenərdʒi"
"kinetic energy","động năng","kɪˈnetɪk ˈenərdʒi"
"potential energy","thế năng","pəˈtenʃəl ˈenərdʒi"
"gravitational potential energy","thế năng trọng trường","ˌɡrævɪˈteɪʃənəl pəˈtenʃəl ˈenərdʒi"
"elastic potential energy","thế năng đàn hồi","əˈlæstɪk pəˈtenʃəl ˈenərdʒi"
"momentum","động lượng","moˈmentəm"
"impulse","xung lực","ˈɪmpʌls"
"collide","va chạm","kəˈlaɪd"
"collision","sự va chạm","kəˈlɪʒən"
"elastic collision","va chạm đàn hồi","əˈlæstɪk kəˈlɪʒən"
"inelastic collision","va chạm không đàn hồi","ˌɪnəˈlæstɪk kəˈlɪʒən"
"head-on collision","va chạm trực diện","ˈhed ɒn kəˈlɪʒən"
"off-center collision","va chạm không xuyên tâm","ˈɒf ˈsentər kəˈlɪʒən"
"isolated system","hệ cô lập","ˈaɪsəˌletɪd ˈsɪstəm"
"explode","nổ","ɪkˈsploʊd"
"explosion","sự nổ","ɪkˈsploʊʒən"
"internal force","nội lực","ˌɪnˈtɝːnəl ˈfɔːrs"
"external force","ngoại lực","ɪkˈstɝːnəl ˈfɔːrs"
"conserve","bảo toàn","kənˈsɝːv"
"conservation","sự bảo toàn","ˌkɑːnsərˈveɪʃən"
"conservation law","định luật bảo toàn","ˌkɑːnsərˈveɪʃən lɔː"
"conservation of momentum","sự bảo toàn động lượng","ˌkɑːnsərˈveɪʃən əv moˈmentəm"
"conservation of energy","sự bảo toàn năng lượng","ˌkɑːnsərˈveɪʃən əv ˈenərdʒi"
"conservative force","lực bảo toàn (lực thế)","kənˈsɝːvətɪv ˈfɔːrs"
"work-kinetic energy theorem","định lý động năng","ˈwɝːk kɪˈnetɪk ˈenərdʒi ˈθɪrəm"
"oscillate","dao động","ˈɑsəˌleɪt"
"vibrate","dao động","ˈvaɪbreɪt"
"oscillation","sự dao động","ˌɑsəˈleɪʃən"
"vibration","sự dao động","vaɪˈbreɪʃən"
"oscillator","vật dao động, dao động tử","ˈɑsəˌleɪtər"
"oscilloscope","dao động ký điện tử","ˌɔˈsɪləˌskoʊp"
"equation of oscillation","phương trình dao động","ɪˈkweɪʒən əv ˌɑsəˈleɪʃən"
"periodic oscillation","dao động tuần hoàn","ˌpɪriˈɑdɪk ˌɑsəˈleɪʃən"
"harmonic oscillation","dao động điều hòa","hɑrˈmɑnɪk ˌɑsəˈleɪʃən"
"harmonic oscillator","dao động tử điều hòa","hɑrˈmɑnɪk ˈɑsəˌleɪtər"
"free oscillation","dao động tự do","fri: ˌɑsəˈleɪʃən"
"damped oscillation","dao động tắt dần","dæmpt ˌɑsəˈleɪʃən"
"forced oscillation","dao động cưỡng bức","fɔrst ˌɑsəˈleɪʃən"
"amplitude","biên độ","ˈæmplɪˌtud"
"period","chu kỳ","ˈpɪriəd"
"frequency","tần số","ˈfrikwənsi"
"angular frequency","tần số góc","ˈæŋgjələr ˈfrikwənsi"
"phase","pha","feɪz"
"in phase","cùng pha","ɪn feɪz"
"out of phase","lệch pha","aʊt əv feɪz"
"pendulum","con lắc","ˈpɛnʤələm"
"simple pendulum","con lắc đơn","ˈpɛnʤələm"
"spring-mass pendulum","con lắc lò xo","sprɪŋ-mæs ˈpɛnʤələm"
"resonate","cộng hưởng","ˈrɛzəˌneɪt"
"resonance","hiện tượng cộng hưởng","ˈrɛzənəns"
"resonance frequency","tần số cộng hưởng"," ˈrɛzənəns ˈfrikwənsi "
"mechanical wave","sóng cơ","məˈkænɪkəl weɪv"
"transverse wave","sóng ngang","trænzˈvɜrs weɪv"
"longitudinal wave","sóng dọc","ˌlɑnʤɪˈtudɪnəl weɪv"
"wavelength","bước sóng","ˈweɪvˌlɛŋkθ"
"wavefront","mặt đầu sóng","ˈweɪvfrʌnt"
"crest","đỉnh sóng","ˈkrɛst"
"trough","đáy sóng","ˈtrɔf"
"coherent waves","các sóng kết hợp","koˈhɪrənt ˈweɪv"
"interfere","giao thoa","ˌɪntɚˈfɪr"
"interference","sự giao thoa","ˌɪntɚˈfɪrəns"
"standing wave","sóng dừng","ˈstændɪŋ weɪv"
"node","nút sóng","noʊd"
"anti-node","bụng sóng","ˈænti-noʊd"
"wave packet","bó sóng","weɪv ˈpækət"
"reflect","phản xạ","rəˈflɛkt"
"reflection","sự phản xạ","rəˈflɛkʃən"
"refract","khúc xạ","ˌriˈfrækt"
"refraction","sự khúc xạ","ˌriˈfrækʃən"
"diffract","nhiễu xạ","dɪˈfrækt"
"diffraction","sự nhiễu xạ","dɪˈfrækʃən"
"acoustics","âm học","əˈkustɪks"
"sound wave","sóng âm","saʊnd weɪv"
"infrasound","hạ âm","ˈɪnfrəsaʊnd"
"ultrasound","siêu âm","ˌʌltrəˈsaʊnd"
"pitch","độ cao của âm","pɪʧ"
"loudness","độ to của âm","ˈlaʊdnəs"
"sound intensity","cường độ âm","saʊnd ɪnˈtɛnsɪti"
"sound intensity level","mức cường độ âm","saʊnd ɪnˈtɛnsəti ˈlɛvəl"
"threshold of hearing","ngưỡng nghe","ˈθrɛˌʃoʊld əv ˈhirɪŋ"
"threshold of pain","ngưỡng đau","ˈθrɛˌʃoʊld əv peɪn"
"beat","phách","bit"
"timbre","âm sắc","ˈtɪmbər"
"atom","nguyên tử","ˈætəm"
"molecule","phân tử","ˈmɑləˌkjul"
"molecular physics","vật lý phân tử","məˈlɛkjələr ˈfɪzɪks"
"thermal physics","nhiệt học","ˈθɜrməl ˈfɪzɪks"
"thermodynamics","nhiệt động lực học","ˈθɜrmoʊ daɪˈnæmɪks"
"Brownian motion","chuyển động Brown","ˈbraʊnɪən ˈmoʊʃən"
"thermal agitation","chuyển động nhiệt","ˈθɜrməl ˌæʤɪˈteɪʃən"
"Avogadro number","số Avogadro","ˌɑːvəˈɡɑːdroʊ ˈnʌmbər"
"mole","mol (đơn vị lượng chất)","moʊl"
"molar mass","khối lượng mol","moʊlər mæs"
"temperature","nhiệt độ","ˈtɛmprəʧər"
"absolute temperature","nhiệt độ tuyệt đối","ˈæbsəˌlut ˈtɛmprəʧər"
"temperature scale","thang nhiệt độ","ˈtɛmprəʧər skeɪl"
"Celsius scale","nhiệt giai Celsius","ˈsɛlsiəs skeɪl"
"degree centigrade","độ bách phân","dɪˈgri ˈsɛntɪˌgreɪd"
"Fahrenheit scale","nhiệt giai Fahrenheit","ˈfɛrənˌhaɪt skeɪl"
"Kelvin scale","nhiệt giai Kelvin","ˈkɛlvɪn skeɪl"
"thermometer","nhiệt kế","θərˈmɑmɪtər"
"pressure","áp suất","ˈprɛʃər"
"barometer","áp kế","bəˈrɑmɪtər"
"manometer","áp kế","məˈnɑmɪtər"
"pressure gauge","dụng cụ đo áp suất","ˈprɛʃər geɪʤ"
"atmosphere","khí quyển","ˈætməˌsfɪr"
"atmospheric pressure","áp suất khí quyển","ˌætməˈsfɛrɪk ˈprɛʃər"
"volume","thể tích","ˈvɑljum"
"standard conditions (standard temperature and pressure STP)","điều kiện tiêu chuẩn","ˈstændərd kənˈdɪʃənz"
"kinetic theory","thuyết động học phân tử","kəˈnɛtɪk ˈθɪri"
"speed distribution","phân bố tốc độ","spid ˌdɪstrɪˈbjuʃən"
"root-mean-square speed","tốc độ căn trung bình bình phương","rut-min-skwɛr spid"
"most probable speed","tốc độ có xác suất cực đại","moʊst ˈprɑbəbəl spid"
"reservoir","hệ điều nhiệt","ˈrɛzəˌvwɑr"
"gas","chất khí","gæs"
"gasify","khí hóa","ˌgæsəfaɪ"
"gaseous","thể khí","ˈgæsiəs"
"liquid","chất lỏng","ˈlɪkwɪd"
"liquid","thuộc thể lỏng","ˈlɪkwɪd"
"liquefy","nấu chảy, làm hóa lỏng","ˈlɪkwɪˌfaɪ"
"solid","chất rắn","ˈsɑlɪd"
"solid","thuộc thể rắn","ˈsɑlɪd"
"solidify","làm hóa rắn","səˈlɪdəˌfaɪ"
"phase change","sự chuyển pha","feɪz ʧeɪnʤ"
"critical point","điểm tới hạn (chuyển pha)","ˈkrɪtɪkəl pɔɪnt"
"three-point","điểm ba (điểm tam trùng)","θri-pɔɪnt"
"evaporate","bay hơi","ɪˈvæpəˌreɪt"
"evaporation","sự bay hơi","ɪˌvæpəˈreɪʃən"
"sublimation","sự thăng hoa","ˈsʌblɪmeɪʃən"
"sublimate","làm cho thăng hoa","ˈsʌblɪmeɪt"
"sublimate","thăng hoa","ˈsʌblɪmeɪt"
"vaporize","làm bay hơi","ˈveɪpəˌraɪz"
"vaporization","sự bay hơi","veɪpərəˈzeɪʃən"
"humid","ẩm ướt","ˈhjumɪd"
"absolute humidity","độ ẩm tuyệt đối","ˈæbsəˌlut hjuˈmɪdɪti"
"maximum humidity","độ ẩm cực đại","ˈmæksəməm hjuˈmɪdɪti"
"relative humidity","độ ẩm tương đối","ˈrɛlətɪv hjuˈmɪdɪti"
"fog","sương mù","fɔg"
"dew","sương","du"
"dew point","điểm sương","du pɔɪnt"
"boiling","sự sôi","ˈbɔɪlɪŋ"
"boiling point","điểm sôi","ˈbɔɪlɪŋ pɔɪnt"
"steam","hơi nước","stim"
"condense","làm ngưng tụ, làm đặc lại","kənˈdɛns"
"condensation","sự ngưng tụ","ˌkɑndənˈseɪʃən"
"freeze","đông đặc","friz"
"freezing","sự đông đặc","ˈfrizɪŋ"
"freezing point","điểm đông đặc","ˈfrizɪŋ pɔɪnt"
"melt","nóng chảy","mɛlt"
"melting","sự nóng chảy","ˈmɛltɪŋ"
"melting point","điểm nóng chảy","ˈmɛltɪŋ pɔɪnt"
"heat","nhiệt lượng","hit"
"internal energy","nội năng","ɪnˈtɜrnəl ˈɛnərʤi"
"heat capacity","nhiệt dung","hit kəˈpæsɪti"
"specific heat (capacity)","nhiệt dung riêng","spəˈsɪfɪk hit (kəˈpæsɪti)"
"latent heat of fusion","nhiệt nóng chảy","ˈleɪtənt hit əv ˈfjuʒən"
"latent heat of evaporation","nhiệt hóa hơi","ˈleɪtənt hit əv ɪˌvæpəˈreɪʃən"
"thermal expansion","sự nở vì nhiệt","ˈθɜrməl ɪkˈspænʃən"
"coefficient of thermal expansion","hệ số nở vì nhiệt","ˌkoʊəˈfɪʃənt əv ˈθɜrməl ɪkˈspænʃən"
"thermal conduction","sự dẫn nhiệt","ˈθɜrməl kənˈdʌkʃən"
"thermal insulation","sự cách nhiệt","ˈθɜrməl ˌɪnsəˈleɪʃən"
"convection","sự đối lưu","kənˈvɛkʃən"
"radiate","bức xạ","ˈreɪdieɪt"
"radiation","sự bức xạ","ˌreɪdiˈeɪʃən"
"thermal radiation","bức xạ nhiệt","ˈθɜrməl ˌreɪdiˈeɪʃən"
"absorb","hấp thụ","əbˈzɔrb"
"absorption","sự hấp thụ","əbˈzɔrpʃən"
"thermal equilibrium","trạng thái cân bằng nhiệt","ˈθɜrməl ˌikwəˈlɪbriəm"
"ideal gas","khí lý tưởng","aɪˈdil gæs"
"real gas","khí thực","riəl gæs"
"isothermal process","quá trình đẳng nhiệt","ˌaɪsəˈθɜrməl ˈprɑˌsɛs"
"isotherm","đường đẳng nhiệt","ˈaɪsəθɜrm"
"isobaric process","quá trình đẳng áp","ˌaɪsəˈbɑrɪk ˈprɑˌsɛs"
"isobar","đường đẳng áp","ˈaɪsəbɑr"
"isochoric/isometric process","quá trình đẳng tích","ˌaɪsəˈkɔrɪk ˈprɑˌsɛs"
"isochor","đường đẳng tích","ˈaɪsəkɔr"
"adiabatic process","quá trình đoạn nhiệt","ˌeɪdiəˈbadik ˈprɑˌsɛs"
"combustion","sự cháy","kəmˈbʌsʧən"
"internal combustion engine","động cơ đốt trong","ɪnˈtɜrnəl kəmˈbʌsʧən ˈɛnʤɪn"
"submerge","nhấn chìm","səbˈmɜrʤ"
"buoyancy","sự nổi","bɔɪənsi"
"buoyant force","lực nổi","ˈbɔɪənt fɔrs"
"hydrophilic","có tính dính ướt","ˌhaɪdrəˈfɪlɪk"
