en,vi,description
average,trung bình,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
axis (axes),trục,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
bar graph,biểu đồ bằng những thanh hình chữ nhật,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base,"gốc, cạnh đáy",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base of 3-dimensional figure,đáy của hình 3 chiều,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base of a parallelogram,cạnh đáy của hình bình hành,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base of a polygon,cạnh đáy của hình nhiều cạnh,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base of a polyhedron,đáy của khối hình nhiều cạnh,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base of rectangle,cạnh của hình chữ nhật,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base of a triangle,đáy của hình tam giác,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
base ten number system,hệ thống thập phân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
before,trước khi,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
below,ở dưới,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
beside/between/on,bên cạnh/ở giữa/trên,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
big/bigger/biggest,lớn/lớn hơn/lớn nhất,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
bisect,"cắt đôi, xẻ đôi",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
calculate,tính toán,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
calendar,lịch,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
capacity,"khả năng dự trữ, chứa đựng",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cardinal numbers (1-10),số đếm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cent,xu,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
centimeter (cm),cen ti mét (một đơn vị đo chiều dài),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
chance,cơ hội,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
charts,bảng ghi các sự kiện,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
circle,vòng tròn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
circle graph,biểu đồ hình tròn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
circumference,chu vi hình tròn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
clarify,"làm thông suốt, làm sáng tỏ",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
classify triangles,phân loại các hình tam giác,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
closed figure,hình khép kín,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
coin,"đồng cắc; đặt ra (một từ, tên gọi mới)",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
collaborate,cùng làm việc với nhau,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
collection,thu thập,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
common denominator,mẫu số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
common factor,thừa số chung,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
common multiple,số nhân chung,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
commutative property of addition,đặc tính giao hoán của tính cộng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
commutative property of multiplication,đặc tính giao hoán của tính nhân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compare,so sánh,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compare numbers,so sánh các số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compatible numbers,số phù hợp,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compensation,"đền bù, bồi thường",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
complementary angles,những góc phụ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compose a number,thành lập một số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
compose shapes,thành lập hình,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
composite number,số tổng hợp,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
concentric circles,những hình tròn đồng tâm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
conclusion,kết luận,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
concrete representations,sự trình bày cụ thể,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cone,hình nón,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
congruent,"đồng dạng, tương đương",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
congruent triangles,tam giác đồng dạng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
conjecture,"đoán, ước lượng",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
connect,"liên kết, nối",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
consecutive,liên tục,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
consecutive angles,"các góc kế nhau, liên tục",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
constant,hằng số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
construct,"làm, vẽ, thiết lập",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
contrast,"tương phản, trái lại",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
conversion fact,qui tắc hoán đổi,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
convert,"chuyển sang, đổi",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
coordinate,tọa độ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
coordinate grid,"giấy, bảng vẽ tọa độ",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
coordinate plane,mặt phẳng tọa độ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
corner,"góc (như góc đường, góc bàn, v..v..)",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
corresponding angles,góc đồng vị,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
corresponding sides,cạnh đồng vị,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
count back,tính ngược,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
count backwards,"tính, đếm ngược trở lại",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
count on,"nhờ vào, phụ thuộc vào",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
counterexample,thí dụ phản với định đề,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
counting numbers,số đếm,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cube,"khối, hình khối",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cubic centimeter (cm3),cen ti mét khối (một đơn vị đo dung tích),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cubic unit,đơn vị đo thước khối,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cup (c),cúp đo lường,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
currency symbols,biểu tượng tiền tệ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
customary measurement system,"hệ thống đo lường thông thường, quen thuộc",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
customary units of measure,"đơn vị đo lường thông thường, quen thuộc",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
cylinder,"trục, hình ống",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
data,"chi tiết, dữ kiện",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
data frequency table,bảng tần số các dữ kiện,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
day,ngày,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
daylight,ánh sáng ban ngày,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decagon,hình mười cạnh,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decimal fraction,phân số thập phân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decimal number,số lẻ thập phân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decimal point,dấu chấm thập phân,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decimeter,đề xi mét (1 phần 10 của mét),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decompose a number,chia (tách) một số (thành nhiều số khác),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decompose shapes,chia hình (thành nhiều hình),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decrease,"giảm đi, giảm xuống",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
decreasing sequences,chuỗi số giảm xuống dần,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
degree measure of an angle,số đo độ của một góc,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
denominator,mẫu số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
density,tỉ trọng,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
design,"vẽ mẫu, làm ra",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
diameter,đường kính của hình tròn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
difference,khác nhau,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
differences,những sự khác nhau,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
digit,số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
digital clock,đồng hồ có số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
digits,các số,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
dime,đồng mười xu (tiền Mỹ),Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
dimension,chiều,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
discuss,"bàn luận, thảo luận",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
distributive property,đặc tính phân phối,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
divide,"chia, toán chia",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
dividend,số bị chia,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
divisibility test,sự thử chia chẵn,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
divisible,"chia chẵn, có thể chia được",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
divisible by,chia cho,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
division,"toán chia, sự chia",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
divisor,số chia,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
dodecahedron,hình khối có 12 mặt,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
dollar ($),đô la Mỹ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
doubles minus one,nhân đôi trừ một,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
doubles plus one,nhân đôi cộng một,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
doubling,"gấp đôi, nhân đôi",Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
draw a graph,vẽ một đồ thị,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
draw a picture,vẽ một hình,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
drawings,hình vẽ,Nguồn: Elementary School Math - http://steinhardt.nyu.edu/scmsAdmin/media/users/nbm3/3-5math_glossary_vietnamese.pdf
